358 133351 133351 h:390 d:30
360 133533 133533 h:10 d:33
363 134326 134326 h:305 d:77
362 134523 134523 h:385 d:87
365 140326 140326 h:53 d:32
374 142651 142651 h:226 d:72
367 143314 143314 h:42 d:46
374 143844 143844 h:396 d:56
378 144522 144522 h:390 d:30
380 145738 145738 h:522 d:72
381 150536 150536 h:46 d:43
385 151200 151200 h:120 d:23
381 151221 151221 h:524 d:22
385 151306 151306 h:103 d:1
387 151701 151701 h:526 d:86
389 153608 153608 h:527 d:67
390 154216 154216 h:78 d:18
392 154648 154648 h:120 d:23
394 154700 154700 h:528 d:21
394 154716 154716 h:529 d:91
394 154730 154730 h:530 d:91
392 154917 154917 h:103 d:1
395 154933 154933 h:10 d:33
390 155335 155335 h:48 d:94
398 155350 155350 h:46 d:43
399 160542 160542 h:537 d:89
401 160918 160918 h:538 d:61
402 161004 161004 h:539 d:63
403 161632 161632 h:10 d:33
401 162810 162810 h:541 d:56
405 163037 163037 h:48 d:94
405 163216 163216 h:225 d:70
408 163829 163829 h:542 d:76
407 164136 164136 h:524 d:22
411 164713 164713 h:412 d:97
412 170015 170015 h:31 d:80
412 170015 170015 h:31 d:81
412 170023 170023 h:29 d:47
412 170259 170259 h:169 d:45
412 170321 170321 h:545 d:69
418 172503 172503 h:550 d:91
419 172953 172953 h:226 d:72
424 173508 173508 h:307 d:77
424 173535 173535 h:555 d:43
425 173915 173915 h:354 d:78
420 174010 174010 h:10 d:33
426 174104 174104 h:103 d:1
426 174120 174120 h:120 d:23
420 174436 174436 h:205 d:72
429 175348 175348 h:53 d:32
431 175926 175926 h:176 d:67
431 180104 180104 h:48 d:94
432 180321 180321 h:31 d:80
432 180321 180321 h:31 d:81
432 180539 180539 h:29 d:47
435 180922 180922 h:196 d:51
437 181332 181332 h:10 d:33
434 182158 182158 h:563 d:76
441 182901 182901 h:564 d:88
444 184100 184100 h:338 d:76
444 184152 184152 h:566 d:79
448 190422 190422 h:362 d:87
451 191652 191652 h:498 d:49
451 192437 192437 h:569 d:78
454 192624 192624 h:354 d:78
456 193549 193549 h:2 d:83
455 193738 193738 h:574 d:75
454 193932 193932 h:385 d:87
458 194340 194340 h:10 d:33
460 194818 194818 h:176 d:67
460 194848 194848 h:48 d:94
460 194921 194921 h:522 d:72
459 195938 195938 h:2 d:83
459 200235 200235 h:584 d:75
461 200238 200238 h:42 d:46
462 200526 200526 h:10 d:33
464 201334 201334 h:61 d:3
464 201655 201655 h:585 d:69
470 202629 202629 h:569 d:78
471 203000 203000 h:586 d:85
465 203311 203311 h:48 d:94
477 205414 205414 h:120 d:23
470 205510 205510 h:594 d:69
479 205916 205916 h:2 d:83
477 210149 210149 h:103 d:1
481 210304 210304 h:401 d:78
480 210615 210615 h:597 d:91
482 210633 210633 h:8 d:48
484 210911 210911 h:401 d:78
482 210944 210944 h:566 d:79
486 211656 211656 h:349 d:2
488 214252 214252 h:78 d:18
492 214930 214930 h:385 d:87
495 221028 221028 h:611 d:17
494 222802 222802 h:53 d:32
497 222839 222839 h:120 d:23
498 223529 223529 h:225 d:70
499 223601 223601 h:117 d:87
499 223925 223925 h:613 d:11
502 224337 224337 h:307 d:77
502 224343 224343 h:308 d:34
503 224506 224506 h:48 d:94
